step,replica,lambda,beta,phi,syndrome,E0_II,E0_IX,E0_XI,E0_XX,U_II,U_IX,U_XI,U_XX,F_II,F_IX,F_XI,F_XX,g_II,g_IX,g_XI,g_XX,delta_E0_IX,delta_E0_XI,delta_E0_XX,delta_U_IX,delta_U_XI,delta_U_XX,delta_F_IX,delta_F_XI,delta_F_XX,delta_S_IX,delta_S_XI,delta_S_XX
0,0,0.0,1.6582280766035322,-1.6574542368344505,"(0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1)",5,8,10,13,5.4286666666666665,7.058666666666666,8.224,10.01,0.0,1.6574542368344505,2.6839342657648504,4.059637127627955,1,1,1,1,3,5,8,1.63,2.7953333333333337,4.581333333333333,1.6574542368344505,2.6839342657648504,4.059637127627955,-0.04552538634060884,0.18472506154951296,0.8650912957581904
0,1,0.2857142857142857,1.6582280766035322,-1.87,"(1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1)",5,8,8,11,6.707333333333334,8.975333333333333,8.577333333333334,9.848,0.0,2.1040334826201885,0.878750332061432,1.840043572824907,1,1,1,1,3,3,6,2.268,1.87,3.140666666666667,2.1040334826201885,0.878750332061432,1.840043572824907,0.2718938827421041,1.6437180302996617,2.1567297312873572
0,2,0.5714285714285714,1.6582280766035322,-0.6379999999999999,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0)",7,10,12,15,8.562,9.2,10.999333333333333,10.026,0.0,0.23266782390388238,0.6800577589715154,1.3281669903338027,1,1,1,1,3,5,8,0.6379999999999999,2.437333333333333,1.4640000000000004,0.23266782390388238,0.6800577589715154,1.3281669903338027,0.6721331947533892,2.913963695736364,0.22524211035804803
0,3,0.8571428571428571,1.6582280766035322,-0.17650916637624242,"(0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1)",6,9,9,12,7.144,8.134,8.304666666666666,6.616,0.0,1.2678811873710603,0.2756712053571347,0.17650916637624242,1,1,1,1,3,3,6,0.9900000000000002,1.1606666666666658,-0.5280000000000005,1.2678811873710603,0.2756712053571347,0.17650916637624242,-0.4607903868586187,1.4675243216101597,-1.168236879909635
0,4,1.1428571428571428,1.6582280766035322,0.3252706496039868,"(0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",5,10,10,15,5.8646666666666665,8.598666666666666,5.318,8.58,0.0,1.6936404584172207,-0.3252706496039868,0.8812192494199305,1,1,1,1,5,5,10,2.734,-0.5466666666666669,2.7153333333333336,1.6936404584172207,-0.3252706496039868,0.8812192494199305,1.7251534016149446,-0.3671250915415308,3.041379469639172
0,5,1.4285714285714284,1.6582280766035322,1.0851813028421649,"(1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1)",7,12,6,11,8.737333333333334,9.504,7.591333333333333,7.962666666666666,0.0,0.832983237147174,-1.0851813028421649,-0.5775792638374173,1,1,1,1,5,-1,4,0.7666666666666657,-1.1460000000000008,-0.7746666666666675,0.832983237147174,-1.0851813028421649,-0.5775792638374173,-0.10996799911483589,-0.100851271209571,-0.3268158649163331
0,6,1.7142857142857142,1.6582280766035322,-1.6673333333333336,"(1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0)",5,10,8,13,6.322,9.486666666666666,7.989333333333334,8.827333333333334,0.0,2.5866147024246295,-0.19416008301386625,1.3451546157407859,1,1,1,1,5,3,8,3.1646666666666663,1.6673333333333336,2.5053333333333336,2.5866147024246295,-0.19416008301386625,1.3451546157407859,0.9585419968419664,3.0867806473995554,1.923840923389843
0,7,2.0,1.6582280766035322,0.6495832118748227,"(0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0)",6,11,9,14,8.493333333333334,8.019333333333334,7.777333333333333,8.026,0.0,-0.7838996860797104,-0.6495832118748227,-1.7716508770432142,1,1,1,1,5,3,8,-0.4740000000000002,-0.7160000000000011,-0.46733333333333427,-0.7838996860797104,-0.6495832118748227,-1.7716508770432142,0.5138843603879962,-0.11013418282699886,2.1628559717862776
10,0,0.0,1.6582280766035322,-3.396000000000001,"(0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0)",5,8,8,11,5.581333333333333,8.984666666666667,8.977333333333334,10.836,0.0,1.9961012595897056,2.69384678471166,3.750174919020922,1,1,1,1,3,3,6,3.403333333333334,3.396000000000001,5.254666666666667,1.9961012595897056,2.69384678471166,3.750174919020922,2.333511734978697,1.1643301756685716,2.4947904569644908
10,1,0.2857142857142857,1.6582280766035322,1.309557986363031,"(1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0)",8,13,13,18,9.549333333333333,8.466,7.772,7.726,0.0,-0.7538673331367793,-1.037645431312864,-1.309557986363031,1,1,1,1,5,5,10,-1.083333333333334,-1.777333333333333,-1.8233333333333333,-0.7538673331367793,-1.037645431312864,-1.309557986363031,-0.5463297718121917,-1.2265712470543042,-0.8519567054128769
